Company,Industry,Ownership,Location,Ratings,Founded,Cities,Reviews,Employee_Count,Salary,Interviews,Jobs
Credihealth,Healthcare ,Startup,Gurgaon / Gurugram ,2,11,2,32, 51-200 ,229,1,0
J B Chemicals And Pharmaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,3,48,70,639, 1k-5k ,2600,42,0
Race2cloud Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,8,2,27, 51-200 ,86,3,0
Ventura Securities,Financial Services ,Public,Bangalore / Bengaluru ,4,30,42,321, 501-1k ,1400,26,0
KDDI,Telecom ,Forbes Global 2000,Gurgaon / Gurugram ,4,40,4,39, 51-200 ,197,1,0
Data Economy,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,9,1,38, 51-200 ,253,8,33
Copperpod Digital,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,2,1,31, 51-200 ,54,9,8
Novulis Global Solutions,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,9,1,23, 51-200 ,32,1,0
Bartronics,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,34,14,50, 201-500 ,206,1,0
Danaher,Pharma ,Forbes Global 2000,Bangalore / Bengaluru ,4,40,11,74, 1k-5k ,668,8,0
Jeevan Scientific Technology,Healthcare ,Public,Hyderabad / Secunderabad ,3,25,4,29, 51-200 ,218,0,23
Mastek,IT Services & Consulting ,Public,Chennai,3,42,18,651, 1k-5k ,6000,89,0
Shodhana Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,4,24,2,40, 51-200 ,215,2,0
JOVEO,Software Product ,Startup,Bangalore / Bengaluru ,3,7,1,27, 51-200 ,349,3,23
Twilio,Software Product ,Public,Bangalore / Bengaluru ,4,12,1,73, 501-1k ,774,14,37
Sunix AI,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,5,2,38, 11-50 ,23,2,0
Indoco Remedies,Pharma ,Public,Hyderabad / Secunderabad ,3,77,69,1000, 5k-10k ,5200,57,0
Hosting Raja,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,12,1,26, 501-1k ,39,1,0
Healthsignz Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,10,3,24, 51-200 ,220,2,0
Takeda Pharmaceutical,Pharma ,Forbes Global 2000,Gurgaon / Gurugram ,4,9,3,33, 51-200 ,217,2,0
TeraSoftware,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,30,22,72, 501-1k ,560,1,0
Smartron India,Financial Services ,Startup,Hyderabad / Secunderabad ,3,11,6,25, 51-200 ,296,1,0
B2B Software Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,4,24,1,30, 51-200 ,165,1,0
LogMeIn,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,21,1,26, 201-500 ,336,2,0
Sparsh BPO Services,BPO ,Public,Gurgaon / Gurugram ,3,46,18,72, 10k-50k ,237,1,0
Jubilant Pharmova,Pharma ,Public,Bangalore / Bengaluru ,4,46,54,781, 1k-5k ,3800,54,63
MRO-TEK,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,40,7,38, 51-200 ,309,1,0
Magzter,IT Services & Consulting ,Startup,Chennai,3,13,1,20, 51-200 ,229,0,0
Melstar Information Technologies,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,38,7,43, 11-50 ,316,1,0
Elixr Labs Technologies,IT Services & Consulting ,Startup,Chennai,4,3,3,88, 51-200 ,82,2,0
Kaleidofin,Financial Services ,Startup,Chennai,3,6,4,26, 51-200 ,285,4,0
ITTStar Global Services Private Limited,Software Product ,Startup,Bangalore / Bengaluru ,3,12,1,26, 51-200 ,128,2,0
Vizlogic Digital Solutions,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,4,6,2,34, 11-50 ,35,1,15
Entropik Tech,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,8,2,22, 51-200 ,333,1,0
Fortinet,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,24,3,23, 201-500 ,292,7,0
Weizmann Forex,Financial Services ,Public,Bangalore / Bengaluru ,3,31,31,120, 201-500 ,505,0,0
5paisa Capital Ltd.,Financial Services ,Public,Bangalore / Bengaluru ,4,9,9,339, 501-1k ,1400,24,0
BT E Serv,Telecom ,Public,Gurgaon / Gurugram ,4,17,3,49, 201-500 ,2500,40,0
Software Technology Parks of India,Software Product ,Public,Bangalore / Bengaluru ,4,33,16,54, 501-1k ,510,5,0
Jagsonpal Pharmaceuticals,Pharma ,Public,Gurgaon / Gurugram ,3,46,30,150, 1k-5k ,596,9,0
HLL Lifecare,Healthcare ,Central,Chennai,3,58,94,436, 1k-5k ,1600,33,0
Nutek,Telecom ,Public,Gurgaon / Gurugram ,4,32,20,50, 11-50 ,184,1,0
Kernex Micro Systems,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,33,2,23, 201-500 ,126,2,0
Numberz,Financial Services ,Startup,Gurgaon / Gurugram ,4,10,2,23, 11-50 ,79,0,0
SHAREit Technology,Software Product ,Public,Gurgaon / Gurugram ,3,7,3,28, 501-1k ,274,2,0
Numberz,Financial Services ,Startup,Gurgaon / Gurugram ,4,10,2,23, 11-50 ,79,0,0
Appscrip,Software Product ,Startup,Bangalore / Bengaluru ,3,10,2,31, 51-200 ,228,5,0
BootLabs,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,5,2,23, 51-200 ,100,3,0
Cloudberry360 Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,3,1,21, 11-50 ,43,1,0
HOV Services,BPO ,Public,Chennai,3,35,4,58, 51-200 ,323,4,0
TARV TECHNOLOGIES,IT Services & Consulting ,Public,Chennai,4,17,15,67, 501-1k ,61,5,0
Aleor Dermaceuticals,Pharma ,Public,Hyderabad / Secunderabad ,3,8,4,84, 51-200 ,478,3,0
Raptakos Brett and Company,Pharma ,Public,Hyderabad / Secunderabad ,3,94,45,268, 201-500 ,1300,16,0
EdGe Networks,Software Product ,Startup,Bangalore / Bengaluru ,3,12,1,23, 51-200 ,276,0,0
Lirik Infotech,IT Services & Consulting ,Public,Gurgaon / Gurugram ,4,9,2,27, 51-200 ,308,6,0
Accrete Globus Technology,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,11,2,23, 51-200 ,146,6,0
Antares Systems,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,27,10,57, 201-500 ,321,0,0
ADTRAN,Telecom ,Public,Hyderabad / Secunderabad ,4,39,2,21, 51-200 ,295,1,0
Equinix,IT Services & Consulting ,Forbes Global 2000,Bangalore / Bengaluru ,4,26,3,32, 501-1k ,491,2,0
Davita Nephrolife Care,Healthcare ,Forbes Global 2000,Bangalore / Bengaluru ,4,15,9,42, 51-200 ,136,2,0
AppDynamics,Software Product ,Public,Bangalore / Bengaluru ,4,16,2,22, 201-500 ,211,1,0
ALIGHT HR SERVICES,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,3,7,6,40, 1k-5k ,278,2,23
E-DAC Learning Solutions,Software Product ,Startup,Gurgaon / Gurugram ,3,8,10,34, 51-200 ,137,3,7
Saturam,Software Product ,Startup,Bangalore / Bengaluru ,3,9,1,19, 51-200 ,108,2,0
Rapidue Technologies,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,3,7,5,28, 51-200 ,267,0,10
Loop Health,Software Product ,Startup,Bangalore / Bengaluru ,3,6,3,64, 201-500 ,307,4,4
SigTuple,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,9,1,19, 51-200 ,272,2,0
Systech Services,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,26,6,25, 51-200 ,194,1,0
Celigo,Software Product ,Public,Hyderabad / Secunderabad ,3,13,1,26, 51-200 ,466,5,0
NICE,Software Product ,Public,Bangalore / Bengaluru ,3,38,14,403, 1k-5k ,3400,57,0
GyanMatrix Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,9,2,22, 51-200 ,171,1,0
Bharat Broadband Network,Telecom ,Public,Bangalore / Bengaluru ,4,9,55,135, 51-200 ,740,6,0
Gemini Communication,IT Services & Consulting ,Public,Chennai,4,29,18,49, 11-50 ,203,1,0
Versa Networks,Software Product ,Startup,Bangalore / Bengaluru ,4,12,2,22, 11-50 ,339,2,0
Nestor Pharmaceuticals,Pharma ,Public,Gurgaon / Gurugram ,2,107,11,83, 51-200 ,389,5,0
Coupa Software Inc,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,18,2,80, 501-1k ,789,17,0
Dell R&D Center,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,40,3,22, 1k-5k ,300,1,0
Neuroglia Health,Healthcare ,Startup,Bangalore / Bengaluru ,3,9,1,21, 51-200 ,198,1,0
ThoughtSpot,Software Product ,Startup,Bangalore / Bengaluru ,3,12,3,22, 201-500 ,383,13,35
RtBrick,Software Product ,Startup,Bangalore / Bengaluru ,4,9,1,18, 11-50 ,21,1,0
Cos Global,Software Product ,Startup,Hyderabad / Secunderabad ,4,3,1,17, 11-50 ,11,1,0
Uncia Technologies,Software Product ,Startup,Chennai,3,4,2,21, 51-200 ,42,0,8
Align Technology,IT Services & Consulting ,Forbes Global 2000,Hyderabad / Secunderabad ,3,27,3,30, 201-500 ,370,7,30
Everi India,IT Services & Consulting ,Public,Chennai,3,9,2,22, 51-200 ,338,5,0
CA-One Tech Cloud,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,7,3,26, 201-500 ,146,7,72
Financepeer,Financial Services ,Startup,Hyderabad / Secunderabad ,3,7,12,79, 201-500 ,439,5,0
Aavas Financiers,Financial Services ,Public,Bangalore / Bengaluru ,4,13,236,1600, 5k-10k ,5300,77,65
eClerx,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,24,19,4400, 10k-50k ,27800,408,0
Nucleus Software Exports,Software Product ,Public,Chennai,3,38,12,440, 1k-5k ,4400,31,0
Cohesity,Software Product ,Public,Bangalore / Bengaluru ,3,11,2,28, 1k-5k ,400,11,0
MapmyIndia,Software Product ,Public,Bangalore / Bengaluru ,3,32,7,225, 201-500 ,1600,17,0
Medibox Digital Solutions,Software Product ,Startup,Bangalore / Bengaluru ,3,8,2,21, 51-200 ,180,0,0
Entero Healthcare Solutions,Pharma ,Public,Chennai,4,6,19,151, 1k-5k ,769,5,0
Celebal Technologies,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,2,9,16,433, 1k-5k ,2700,82,11
Finance Buddha,Financial Services ,Public,Bangalore / Bengaluru ,4,12,4,26, 51-200 ,279,2,0
Virinchi,Healthcare ,Public,Hyderabad / Secunderabad ,4,9,2,24, 501-1k ,348,2,0
Guidewire Software,Software Product ,Public,Chennai,4,23,2,19, 201-500 ,161,4,0
Indian Telephone Industries,Telecom ,Public,Bangalore / Bengaluru ,4,76,14,50, 1k-5k ,298,2,0
Elite IT Services,Telecom ,Startup,Gurgaon / Gurugram ,4,12,6,20, 51-200 ,265,1,0
Nihar Info Global,Financial Services ,Public,Hyderabad / Secunderabad ,3,9,1,16, 11-50 ,73,0,0
Veritas,Software Product ,Public,Bangalore / Bengaluru ,4,35,38,489, 1k-5k ,4400,45,0
Tech Data,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,50,7,55, 501-1k ,586,6,0
Stockal,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,8,2,18, 51-200 ,149,2,0
Esper,Software Product ,Startup,Bangalore / Bengaluru ,3,6,1,17, 51-200 ,170,1,0
Cipla Health,Pharma ,Public,Bangalore / Bengaluru ,4,11,55,257, 10k-50k ,1100,20,0
Mentor Graphics,Software Product ,Public,Bangalore / Bengaluru ,4,43,5,51, 201-500 ,687,18,0
6Sense,Software Product ,Startup,Bangalore / Bengaluru ,3,11,1,85, 201-500 ,389,5,0
Nu10 Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,3,2,22, 51-200 ,171,6,0
OneDirect (India),IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,11,3,33, 51-200 ,361,2,0
Prithvi Information Solutions,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,26,6,20, 1k-5k ,81,3,0
Dizitive It Solutions,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,3,8,1,24, 11-50 ,113,2,0
CAT Technologies,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,25,2,19, 51-200 ,226,1,0
Dizitive It Solutions,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,3,8,1,24, 11-50 ,113,2,0
Zeliot Connected Services,Software Product ,Startup,Bangalore / Bengaluru ,4,6,1,16, 51-200 ,94,0,0
Euphoric Thought Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,5,6,1,14, 51-200 ,38,0,0
Terumo Corporation,Healthcare ,Forbes Global 2000,Gurgaon / Gurugram ,2,9,3,16, 51-200 ,187,1,0
CyberArk,Software Product ,Public,Hyderabad / Secunderabad ,3,25,1,15, 51-200 ,327,10,0
truData Solutions,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,6,1,13, 11-50 ,13,0,0
Optiva,Software Product ,Public,Bangalore / Bengaluru ,4,25,7,46, 51-200 ,454,2,0
TeleCMI,Telecom ,Startup,Chennai,4,8,2,30, 11-50 ,18,0,2
Sasken Network Engineering,IT Services & Consulting ,Public,Bangalore / Bengaluru ,5,20,1,13, 51-200 ,76,0,0
Alankit,Financial Services ,Public,Hyderabad / Secunderabad ,3,33,37,335, 1k-5k ,1300,20,20
MAS Financial Services,Financial Services ,Public,Bangalore / Bengaluru ,3,29,100,498, 1k-5k ,1800,29,21
Hippo Innovations,Software Product ,Startup,Gurgaon / Gurugram ,4,10,1,15, 11-50 ,112,0,0
Polestar Solutions & Services India,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,12,8,341, 201-500 ,993,15,0
RDA Labs,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,9,2,28, 51-200 ,208,2,0
Mindpool Technologies,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,13,4,52, 201-500 ,418,4,0
Kalindee Rail Nirman (E),Telecom ,Public,Gurgaon / Gurugram ,4,40,14,65, 1k-5k ,273,1,0
Staqu Technologies,Financial Services ,Startup,Gurgaon / Gurugram ,3,9,2,17, 11-50 ,181,4,0
Riddhi Corporate Services,IT Services & Consulting ,Public,Chennai,3,14,33,155, 11-50 ,631,8,18
mSupply,Financial Services ,Public,Bangalore / Bengaluru ,3,9,2,14, 51-200 ,69,1,0
AbbVie Inc.,Pharma ,Forbes Global 2000,Bangalore / Bengaluru ,4,9,10,40, 1k-5k ,245,5,0
Ruloans,Financial Services ,Public,Chennai,3,28,32,143, 51-200 ,856,8,0
Discover Dollar,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,10,1,13, 11-50 ,93,2,0
Tekplay Systems,IT Services & Consulting ,Public,Chennai,2,24,5,23, 51-200 ,390,0,9
Auxilo Finserve,Financial Services ,Startup,Hyderabad / Secunderabad ,4,7,8,47, 51-200 ,448,1,22
Nelco,Telecom ,Public,Hyderabad / Secunderabad ,3,84,17,110, 201-500 ,535,5,0
Inspira,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,6,4,19, 51-200 ,176,1,0
Litmus World,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,9,2,18, 51-200 ,306,2,0
iMerit,Software Product ,Startup,Bangalore / Bengaluru ,3,12,11,872, 1k-5k ,4100,79,19
Satya MicroCapital,Financial Services ,Public,Chennai,3,8,120,464, 1k-5k ,1600,47,0
Nelco,Telecom ,Public,Hyderabad / Secunderabad ,3,84,17,110, 201-500 ,535,5,0
Acropetal Technologies,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,23,3,14, 501-1k ,38,0,0
TTSL,Telecom ,Public,Hyderabad / Secunderabad ,4,28,19,39, 1k-5k ,225,2,0
Cheric Information Network Technologies,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,4,12,1,12, 51-200 ,135,0,0
Envestnet Asset Management,Financial Services ,Public,Bangalore / Bengaluru ,3,25,4,197, 1k-5k ,1700,15,19
Coloplast,Healthcare ,Forbes Global 2000,Bangalore / Bengaluru ,3,70,18,93, 51-200 ,327,7,0
Muthoot Capital Services,Financial Services ,Public,Chennai,3,30,65,204, 1k-5k ,817,2,30
Medeor,Healthcare ,Public,Gurgaon / Gurugram ,3,20,8,90, 501-1k ,519,3,0
Sri Hema Infotech,IT Services & Consulting ,Public,Chennai,4,20,2,14, 11-50 ,178,1,0
Kindly Health,Healthcare ,Startup,Bangalore / Bengaluru ,4,4,1,14, 11-50 ,47,0,0
Heptagon Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,9,2,54, 51-200 ,516,5,0
TAO The Automation Office,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,8,2,13, 501-1k ,140,2,0
Tlg India,Software Product ,Public,Gurgaon / Gurugram ,3,52,10,35, 201-500 ,460,1,0
Ceinsys Tech,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,26,36,293, 501-1k ,1300,11,17
2050 Healthcare,Healthcare ,Startup,Hyderabad / Secunderabad ,3,5,17,64, 1k-5k ,177,1,25
Cusmat,Software Product ,Startup,Bangalore / Bengaluru ,3,8,1,12, 11-50 ,75,1,0
Veeva Systems,Software Product ,Public,Hyderabad / Secunderabad ,3,17,1,23, 1k-5k ,249,7,34
Kindly Health,Healthcare ,Startup,Bangalore / Bengaluru ,4,4,1,14, 11-50 ,47,0,0
Medeor,Healthcare ,Public,Gurgaon / Gurugram ,3,20,8,90, 501-1k ,519,3,0
Themis Medicare,Pharma ,Public,Chennai,3,55,33,216, 201-500 ,965,10,0
Reliable Data Services,BPO ,Public,Chennai,3,9,12,44, 51-200 ,231,1,0
TCG Lifesciences,Pharma ,Public,Hyderabad / Secunderabad ,4,23,7,280, 1k-5k ,1200,12,0
HCAH SuVitas,Healthcare ,Public,Hyderabad / Secunderabad ,3,10,1,16, 11-50 ,127,0,0
Wishup,Financial Services ,Startup,Bangalore / Bengaluru ,4,9,3,112, 11-50 ,241,16,0
Unichem Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,3,80,68,1000, 1k-5k ,4900,76,32
Uniinfo Telecom Services,Telecom ,Public,Bangalore / Bengaluru ,3,14,30,188, 201-500 ,538,10,0
Kerala Ayurveda,Pharma ,Public,Bangalore / Bengaluru ,4,79,7,32, 51-200 ,195,3,0
IDBI Capital,Financial Services ,Public,Hyderabad / Secunderabad ,3,31,35,145, 51-200 ,835,9,0
Luker Electric Technologies,Financial Services ,Startup,Hyderabad / Secunderabad ,3,10,18,66, 51-200 ,397,5,0
Everest Organics,Pharma ,Public,Hyderabad / Secunderabad ,3,9,2,27, 501-1k ,174,0,0
Cumulations Technologies,Financial Services ,Startup,Bangalore / Bengaluru ,4,9,1,12, 11-50 ,82,0,0
Reliable Data Services,BPO ,Public,Chennai,3,9,12,44, 51-200 ,231,1,0
Odyssey Technologies,IT Services & Consulting ,Public,Chennai,3,9,3,20, 51-200 ,162,1,0
Qure.ai,Healthcare ,Public,Bangalore / Bengaluru ,3,8,1,23, 11-50 ,205,3,0
Sunday Labs,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,4,4,1,13, 51-200 ,42,0,7
MedPay,Healthcare ,Startup,Bangalore / Bengaluru ,3,4,1,33, 51-200 ,40,1,0
Intelsat,Telecom ,Public,Chennai,4,60,1,11, 11-50 ,137,2,0
Triveni Enterprises,Financial Services ,Public,Bangalore / Bengaluru ,3,9,3,15, 51-200 ,123,0,0
Religare Housing Development Finance Corporation,Financial Services ,Public,Bangalore / Bengaluru ,4,31,26,89, 51-200 ,264,1,0
Zippr,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,11,1,11, 11-50 ,61,0,0
Silver Touch Technologies,IT Services & Consulting ,Public,Gurgaon / Gurugram ,3,32,26,254, 1k-5k ,2300,20,0
FCS Software Solutions,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,30,13,126, 1k-5k ,798,7,0
Hfcl Infotel,Telecom ,Public,Gurgaon / Gurugram ,4,37,28,53, 1k-5k ,189,2,0
Altiux Innovations,Financial Services ,Startup,Bangalore / Bengaluru ,2,11,2,11, 51-200 ,220,0,0
Zilingo,Financial Services ,Startup,Bangalore / Bengaluru ,4,9,6,27, 201-500 ,285,2,0
Crystal Hues,IT Services & Consulting ,Public,Bangalore / Bengaluru ,3,35,8,51, 51-200 ,290,1,25
Mitosis Technologies,IT Services & Consulting ,Startup,Chennai,3,11,1,10, 51-200 ,104,0,0
Network People Services Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,11,9,63, 51-200 ,494,4,21
Motilal Oswal,Financial Services ,Public,Bangalore / Bengaluru ,3,37,41,138, 5k-10k ,1200,14,15
Talend Data Integration Services,Software Product ,Public,Bangalore / Bengaluru ,3,19,1,15, 51-200 ,170,3,0
REALWORLD ONE,Software Product ,Public,Bangalore / Bengaluru ,2,7,2,11, 51-200 ,60,0,0
NeoDove,Software Product ,Startup,Bangalore / Bengaluru ,2,5,2,13, 51-200 ,96,2,16
Skylo,Telecom ,Startup,Bangalore / Bengaluru ,3,7,1,12, 51-200 ,78,0,0
LeanIX,IT Services & Consulting ,Startup,Hyderabad / Secunderabad ,3,12,1,10, 11-50 ,71,6,0
Koantek,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,4,3,36, 51-200 ,153,15,5
VisAI Labs,Software Product ,Startup,Chennai,4,6,1,103, 51-200 ,87,7,0
Decisions,Software Product ,Startup,Hyderabad / Secunderabad ,2,16,2,14, 51-200 ,84,6,0
Genesis,Healthcare ,Public,Bangalore / Bengaluru ,4,12,18,46, 1k-5k ,478,6,0
SWIFT,Financial Services ,Startup,Bangalore / Bengaluru ,3,6,12,27, 11-50 ,257,0,0
LiftOff Software,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,2,14,1,9, 51-200 ,107,2,0
Saiesh Info Solutions,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,9,1,10, 11-50 ,67,1,0
Wanbury,Pharma ,Public,Hyderabad / Secunderabad ,3,36,27,177, 1k-5k ,751,5,0
Mygubbi,Financial Services ,Startup,Bangalore / Bengaluru ,2,9,1,9, 51-200 ,79,0,0
Genesis,Healthcare ,Public,Bangalore / Bengaluru ,4,12,18,46, 1k-5k ,478,6,0
Blue Cross Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,3,44,32,158, 1k-5k ,538,5,0
IQnext,Software Product ,Startup,Bangalore / Bengaluru ,5,8,1,11, 11-50 ,91,1,0
InfoBeans,IT Services & Consulting ,Public,Chennai,3,24,5,262, 1k-5k ,2800,26,0
SWIFT,Financial Services ,Startup,Bangalore / Bengaluru ,3,6,12,27, 11-50 ,257,0,0
Edvenswa Tech,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,17,1,11, 51-200 ,179,1,0
"Ministry Of Health, New Delhi",Healthcare ,Public,Chennai,4,48,52,302, 10k-50k ,1000,13,0
Saiesh Info Solutions,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,3,9,1,10, 11-50 ,67,1,0
Cravatex,Financial Services ,Public,Bangalore / Bengaluru ,4,73,7,39, 501-1k ,264,1,0
RouteMobile,IT Services & Consulting ,Public,Bangalore / Bengaluru ,4,20,6,62, 201-500 ,621,4,26
Snapmint Credit Advisory,Financial Services ,Startup,Gurgaon / Gurugram ,3,9,6,27, 51-200 ,240,3,15
COSYN,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,38,7,18, 51-200 ,105,1,0
RMgX,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,4,9,1,18, 51-200 ,62,1,0
Lupin Digital Health,Pharma ,Startup,Bangalore / Bengaluru ,3,2,5,18, 51-200 ,89,0,0
Peso : Accounts Receivables Automation Software,Software Product ,Startup,Bangalore / Bengaluru ,5,1,1,10, 1-10 ,3,1,0
Scymes Services,IT Services & Consulting ,Startup,Chennai,3,9,12,97, 501-1k ,352,4,0
Bitcs.in,IT Services & Consulting ,Startup,Gurgaon / Gurugram ,4,9,2,20, 51-200 ,93,0,0
QX Global Group,IT Services & Consulting ,Public,Hyderabad / Secunderabad ,3,21,15,406, 1k-5k ,2200,62,0
BrightGeeks Technologies,IT Services & Consulting ,Startup,Bangalore / Bengaluru ,4,3,1,10, 1-10 ,27,0,0
Peso : Accounts Receivables Automation Software,Software Product ,Startup,Bangalore / Bengaluru ,5,1,1,10, 1-10 ,3,1,0
Starcom Information Technology,IT Services & Consulting ,Public,Bangalore / Bengaluru ,1,12,3,11, 11-50 ,129,0,0
Petoo,Financial Services ,Public,Bangalore / Bengaluru ,2,9,3,10, 11-50 ,73,0,0
Swash Convergence Technologies,IT Services & Consulting ,Public,Gurgaon / Gurugram ,2,23,4,40, 51-200 ,184,1,0
Dishnet Wireless,Telecom ,Public,Gurgaon / Gurugram ,4,26,45,195, 1k-5k ,429,0,0
Ziqitza Health Care,Healthcare ,Public,Bangalore / Bengaluru ,4,19,52,438, 5k-10k ,1200,18,0
Ortin Laboratories,Pharma ,Public,Hyderabad / Secunderabad ,3,9,1,13, 51-200 ,94,0,0
Magma Housing Finance,Financial Services ,Public,Hyderabad / Secunderabad ,4,35,59,149, 5k-10k ,606,4,0
